2019-04-19 19:20:23 INFO     Loading Data
2019-04-19 19:20:26 INFO     Model Setting Up
2019-04-19 19:20:33 INFO     train_dir : [../mnist/train]
2019-04-19 19:20:33 INFO     test_dir : [../mnist/test]
2019-04-19 19:20:33 INFO     save_dir : [./save]
2019-04-19 19:20:33 INFO     num_epochs : [500]
2019-04-19 19:20:33 INFO     batch_size : [300]
2019-04-19 19:20:33 INFO     num_points : [512]
2019-04-19 19:20:33 INFO     sigma : [0.05]
2019-04-19 19:20:33 INFO     log_interval : [1000]
2019-04-19 19:20:33 INFO     save_interval : [50]
2019-04-19 19:20:33 INFO     baselr : [5e-05]
2019-04-19 19:20:33 INFO     density_radius : [0.2]
2019-04-19 19:20:33 INFO     feature_out1 : [8]
2019-04-19 19:20:33 INFO     feature_out2 : [16]
2019-04-19 19:20:33 INFO     feature_out3 : [32]
2019-04-19 19:20:33 INFO     feature_out4 : [64]
2019-04-19 19:20:33 INFO     feature_out5 : [128]
2019-04-19 19:20:33 INFO     num_classes : [10]
2019-04-19 19:20:33 INFO     bandwidth_0 : [10]
2019-04-19 19:20:33 INFO     bandwidth_out1 : [10]
2019-04-19 19:20:33 INFO     bandwidth_out2 : [8]
2019-04-19 19:20:33 INFO     bandwidth_out3 : [6]
2019-04-19 19:20:33 INFO     bandwidth_out4 : [4]
2019-04-19 19:20:33 INFO     bandwidth_out5 : [2]
2019-04-19 19:20:33 INFO     resume_training : [0]
2019-04-19 19:20:33 INFO     Start Training
2019-04-19 19:20:33 INFO     Saved model checkpoints into ./save/2019-04-19_19-20-33-model.ckpt...
2019-04-19 19:20:52 INFO     Batch: [0/200] Epoch: [0] Loss: [2.2972049713134766]
2019-04-19 19:20:54 INFO     Batch: [1/200] Epoch: [0] Loss: [2.30068302154541]
2019-04-19 19:20:55 INFO     Batch: [2/200] Epoch: [0] Loss: [2.300961494445801]
2019-04-19 19:20:56 INFO     Batch: [3/200] Epoch: [0] Loss: [2.3026317358016968]
2019-04-19 19:20:58 INFO     Batch: [4/200] Epoch: [0] Loss: [2.303043842315674]
2019-04-19 19:20:59 INFO     Batch: [5/200] Epoch: [0] Loss: [2.302571098009745]
2019-04-19 19:21:00 INFO     Batch: [6/200] Epoch: [0] Loss: [2.302757603781564]
2019-04-19 19:21:02 INFO     Batch: [7/200] Epoch: [0] Loss: [2.302771657705307]
2019-04-19 19:21:03 INFO     Batch: [8/200] Epoch: [0] Loss: [2.302263683742947]
2019-04-19 19:21:05 INFO     Batch: [9/200] Epoch: [0] Loss: [2.3012118101119996]
2019-04-19 19:21:06 INFO     Batch: [10/200] Epoch: [0] Loss: [2.3013439828699287]
2019-04-19 19:21:07 INFO     Batch: [11/200] Epoch: [0] Loss: [2.300492763519287]
2019-04-19 19:21:09 INFO     Batch: [12/200] Epoch: [0] Loss: [2.300093595798199]
2019-04-19 19:21:10 INFO     Batch: [13/200] Epoch: [0] Loss: [2.2996186188289096]
2019-04-19 19:21:12 INFO     Batch: [14/200] Epoch: [0] Loss: [2.298973035812378]
2019-04-19 19:21:13 INFO     Batch: [15/200] Epoch: [0] Loss: [2.298428237438202]
2019-04-19 19:21:14 INFO     Batch: [16/200] Epoch: [0] Loss: [2.297270185807172]
2019-04-19 19:21:15 INFO     Batch: [17/200] Epoch: [0] Loss: [2.2967187563578286]
2019-04-19 19:21:17 INFO     Batch: [18/200] Epoch: [0] Loss: [2.29553034431056]
2019-04-19 19:21:18 INFO     Batch: [19/200] Epoch: [0] Loss: [2.2947623252868654]
2019-04-19 19:21:20 INFO     Batch: [20/200] Epoch: [0] Loss: [2.293789579754784]
2019-04-19 19:21:21 INFO     Batch: [21/200] Epoch: [0] Loss: [2.2929873249747534]
2019-04-19 19:21:22 INFO     Batch: [22/200] Epoch: [0] Loss: [2.2924838066101074]
2019-04-19 19:21:24 INFO     Batch: [23/200] Epoch: [0] Loss: [2.292028288046519]
2019-04-19 19:21:25 INFO     Batch: [24/200] Epoch: [0] Loss: [2.2915425872802735]
2019-04-19 19:21:26 INFO     Batch: [25/200] Epoch: [0] Loss: [2.2907050389509935]
2019-04-19 19:21:28 INFO     Batch: [26/200] Epoch: [0] Loss: [2.289893724300243]
2019-04-19 19:21:29 INFO     Batch: [27/200] Epoch: [0] Loss: [2.2894419176237926]
2019-04-19 19:21:30 INFO     Batch: [28/200] Epoch: [0] Loss: [2.2884953022003174]
