2019-04-07 20:59:42 INFO     Loading Data
2019-04-07 20:59:43 INFO     Model Setting Up
2019-04-07 20:59:51 INFO     train_dir : [../mnist/train]
2019-04-07 20:59:51 INFO     test_dir : [../mnist/test]
2019-04-07 20:59:51 INFO     save_dir : [./save]
2019-04-07 20:59:51 INFO     num_epochs : [250]
2019-04-07 20:59:51 INFO     batch_size : [500]
2019-04-07 20:59:51 INFO     num_points : [512]
2019-04-07 20:59:51 INFO     sigma : [0.05]
2019-04-07 20:59:51 INFO     log_interval : [1000]
2019-04-07 20:59:51 INFO     save_interval : [50]
2019-04-07 20:59:51 INFO     baselr : [5e-05]
2019-04-07 20:59:51 INFO     density_radius : [0.2]
2019-04-07 20:59:51 INFO     feature_out1 : [8]
2019-04-07 20:59:51 INFO     feature_out2 : [16]
2019-04-07 20:59:51 INFO     feature_out3 : [32]
2019-04-07 20:59:51 INFO     feature_out4 : [64]
2019-04-07 20:59:51 INFO     feature_out5 : [128]
2019-04-07 20:59:51 INFO     num_classes : [10]
2019-04-07 20:59:51 INFO     bandwidth_0 : [10]
2019-04-07 20:59:51 INFO     bandwidth_out1 : [10]
2019-04-07 20:59:51 INFO     bandwidth_out2 : [8]
2019-04-07 20:59:51 INFO     bandwidth_out3 : [6]
2019-04-07 20:59:51 INFO     bandwidth_out4 : [4]
2019-04-07 20:59:51 INFO     bandwidth_out5 : [2]
2019-04-07 20:59:51 INFO     resume_training : [0]
2019-04-07 20:59:51 INFO     Start Training
2019-04-07 20:59:51 INFO     Saved model checkpoints into ./save/2019-04-07_20-59-51-model.ckpt...
2019-04-07 20:59:56 INFO     Batch: [0/120] Epoch: [0] Loss: [2.3038103580474854]
2019-04-07 20:59:56 INFO     Batch: [1/120] Epoch: [0] Loss: [2.303153872489929]
2019-04-07 20:59:56 INFO     Batch: [2/120] Epoch: [0] Loss: [2.305615266164144]
2019-04-07 20:59:57 INFO     Batch: [3/120] Epoch: [0] Loss: [2.304473578929901]
2019-04-07 20:59:57 INFO     Batch: [4/120] Epoch: [0] Loss: [2.303979015350342]
2019-04-07 20:59:57 INFO     Batch: [5/120] Epoch: [0] Loss: [2.3039502700169883]
